gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons,duration_adjusted_median_income_per_job_aud_male,duration_adjusted_median_income_per_job_aud_female,duration_adjusted_median_income_per_job_aud_persons
1GSYD,Greater Sydney,1803.7079999999999,1706.068,3509.775,36560,25158,30175,54647,39086,46312
1RNSW,Rest of NSW,847.3,817.81,1665.114,31627,20904,25342,48353,30775,38913
2GMEL,Greater Melbourne,1614.445,1588.567,3203.011,35790,22664,28070,52543,35261,43374
2RVIC,Rest of Vic.,459.657,469.526,929.184,31076,18402,23328,47420,27567,36531
3GBRI,Greater Brisbane,858.512,810.3480000000001,1668.855,34875,23812,28458,53379,37099,44863
3RQLD,Rest of Qld,867.732,814.051,1681.7839999999999,29876,19569,23810,50091,31822,40083
4GADE,Greater Adelaide,418.426,423.215,841.643,37631,24907,30051,51253,34638,42558
4RSAU,Rest of SA,117.54299999999999,108.439,225.976,27733,18513,22163,45307,27112,35218
5GPER,Greater Perth,789.915,701.078,1490.995,39118,23252,29880,61372,35880,47236
5RWAU,Rest of WA,197.40400000000002,175.083,372.49,33442,17198,23724,59288,30446,42774
6GHOB,Greater Hobart,72.374,77.09899999999999,149.466,34125,23158,27440,47476,32582,39519
6RTAS,Rest of Tas.,92.23299999999999,89.429,181.66099999999997,30851,19190,23686,45241,27653,35911
7GDAR,Greater Darwin,73.225,63.18,136.403,34910,21622,27484,61619,42082,51531
7RNTE,Rest of NT,27.515,26.883000000000003,54.395,22162,16874,19223,46686,36357,41303
8ACTE,Australian Capital Territory,155.58100000000002,157.882,313.466,44539,32280,37700,63327,48777,55581
