gccsa_code16,gccsa_name16,num_multiple_job_holder_000_males,num_multiple_job_holder_000_females,num_multiple_job_holder_000_persons,median_income_multiple_job_holder_aud_males,median_income_multiple_job_holder_aud_females,median_income_multiple_job_holder_aud_persons
1GSYD,Greater Sydney,165.041,191.52,356.566,41888,35086,38008
1RNSW,Rest of NSW,92.77,110.24799999999999,203.014,41690,30570,35019
2GMEL,Greater Melbourne,156.183,190.24200000000002,346.42699999999996,41947,32764,36513
2RVIC,Rest of Vic.,49.218,64.831,114.05799999999999,39328,28797,32618
3GBRI,Greater Brisbane,82.904,93.24600000000001,176.15200000000002,43284,33049,37348
3RQLD,Rest of Qld,95.035,104.355,199.38400000000001,44687,30881,36234
4GADE,Greater Adelaide,43.663000000000004,54.18899999999999,97.853,42735,33432,37281
4RSAU,Rest of SA,13.868,15.460999999999999,29.331999999999997,39394,29135,33242
5GPER,Greater Perth,84.56700000000001,88.696,173.267,50241,31832,39115
5RWAU,Rest of WA,21.566999999999997,24.823,46.388999999999996,49610,29548,36599
6GHOB,Greater Hobart,8.002,10.214,18.22,40497,33108,36062
6RTAS,Rest of Tas.,10.935,12.550999999999998,23.483,40758,29606,34030
7GDAR,Greater Darwin,7.662999999999999,8.761000000000001,16.427,49145,39344,43830
7RNTE,Rest of NT,3.2889999999999997,4.211,7.497999999999999,39522,35975,37491
8ACTE,Australian Capital Territory,16.305999999999997,18.825,35.13,46286,37807,41551
