gcc_code16,tot_2000_2999_mng,tot_2000_2999_pro,tot_2000_2999_tectw,tot_2000_2999_copsw,tot_2000_2999_claw,tot_2000_2999_swks,tot_2000_2999_maopdv,tot_2000_2999_lab,tot_2000_2999_idns,tot_2000_2999_tot,tot_3000mo_mng,tot_3000mo_pro,tot_3000mo_tectw,tot_3000mo_copsw,tot_3000mo_claw,tot_3000mo_swks,tot_3000mo_maopdv,tot_3000mo_lab,tot_3000mo_idns,tot_3000mo_tot,tot_pins_mng,tot_pins_pro,tot_pins_tectw,tot_pins_copsw,tot_pins_claw,tot_pins_swks,tot_pins_maopdv,tot_pins_lab,tot_pins_idns,tot_pins_tot,tot_tot_mng,tot_tot_pro,tot_tot_tectw,tot_tot_copsw,tot_tot_claw,tot_tot_swks,tot_tot_maopdv,tot_tot_lab,tot_tot_idns,tot_tot_tot,gcc_name16
9OTER,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,12,0,9,4,7,3,54,Other Territories
8ACTE,3,7,0,8,5,3,0,0,0,29,4,3,3,7,0,3,0,0,0,23,6,10,29,62,15,56,3,19,36,239,1159,1516,1464,5118,1820,5306,256,1898,254,18789,Australian Capital Territory
7RNTE,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,3,0,3,20,41,21,74,174,167,71,282,14,178,51,1029,Rest of NT
7GDAR,0,0,7,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,7,0,0,4,7,5,18,0,8,26,68,80,180,466,705,308,1134,68,472,79,3486,Greater Darwin
6RTAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,8,0,51,0,19,12,115,112,228,732,1103,255,2347,129,1112,68,6080,Rest of Tas.
6GHOB,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,0,0,4,3,5,5,12,0,37,3,16,13,105,102,327,661,1501,396,2409,114,1121,94,6719,Greater Hobart
5RWAU,3,15,30,3,4,0,5,4,0,55,0,3,8,3,0,3,4,9,5,37,3,9,25,26,4,67,3,34,31,195,156,267,1436,1385,475,3173,154,1617,162,8819,Rest of WA
5GPER,8,17,18,13,4,15,4,7,0,81,3,3,11,22,14,16,3,8,6,93,14,36,95,169,48,331,24,159,106,988,1188,3069,5301,13680,3940,22483,1642,10477,777,62557,Greater Perth
4RSAU,0,0,12,0,0,0,0,0,0,10,0,0,0,4,0,0,0,6,0,10,4,5,11,32,4,61,7,44,11,176,141,200,871,1319,304,2464,136,1786,101,7319,Rest of SA
4GADE,7,5,0,11,4,6,0,0,0,35,0,3,4,14,6,8,0,11,3,49,11,26,42,109,25,231,11,105,72,626,732,2005,2755,9392,2503,14631,783,7511,474,40789,Greater Adelaide
3RQLD,4,35,36,3,5,4,21,4,0,112,4,3,11,15,7,16,4,13,7,85,17,41,118,197,59,435,18,216,168,1267,1117,2702,6236,12455,3831,22197,1188,10308,814,60853,Rest of Qld
3GBRI,8,17,12,16,12,3,0,4,3,73,3,10,0,24,10,28,3,9,3,80,20,55,90,197,74,364,17,156,165,1143,1626,5441,5895,16848,7446,25485,1852,11456,1040,77095,Greater Brisbane
2RVIC,3,0,3,0,0,3,0,0,0,16,6,4,14,13,0,21,0,7,3,74,21,25,100,143,19,306,11,182,109,915,828,1307,4718,7730,1702,14426,534,7737,605,39576,Rest of Vic.
2GMEL,19,24,21,49,16,21,3,14,5,164,11,25,17,73,26,58,6,18,20,252,54,149,268,534,182,1062,52,353,399,3051,3330,9698,12864,32253,11985,54505,3328,22663,2437,153069,Greater Melbourne
1RNSW,3,17,14,10,0,3,5,0,0,45,3,3,11,22,0,11,3,9,4,71,25,45,155,201,55,513,13,223,176,1409,1254,3321,8880,14396,3456,23369,1295,11725,942,68641,Rest of NSW
1GSYD,15,53,26,39,30,21,3,11,5,195,9,15,12,52,25,38,6,17,11,186,40,171,278,448,196,701,52,262,452,2601,3780,14368,15774,34139,15613,48748,3703,20517,2920,159575,Greater Sydney
